epd,posnum,complexity,move,top,score,depth,pv
qnbbnrkr/pppppppp/8/8/8/8/PPPPPPPP/QNBBNRKR w HFhf -,6,735,b2b3,5,16,24,b2b3 h7h5 h2h4 c7c5 c2c4 b8c6 e2e3
qnbnrbkr/pppppppp/8/8/8/8/PPPPPPPP/QNBNRBKR w HEhe -,7,105,d2d4,1,41,23,d2d4 d7d5 b2b3 b8d7 b1c3 b7b6 e2e4
qnbnrbkr/pppppppp/8/8/8/8/PPPPPPPP/QNBNRBKR w HEhe -,7,105,b2b3,2,25,23,b2b3 e7e5 d2d4 e5d4 a1d4 b7b5 e2e4
qnbnrbkr/pppppppp/8/8/8/8/PPPPPPPP/QNBNRBKR w HEhe -,7,105,h2h4,3,21,23,h2h4 e7e5
qnbnrbkr/pppppppp/8/8/8/8/PPPPPPPP/QNBNRBKR w HEhe -,7,105,e2e4,4,17,23,e2e4 e7e5 b2b3 b7b6 h2h4 h7h5 d2d3
qnbnrbkr/pppppppp/8/8/8/8/PPPPPPPP/QNBNRBKR w HEhe -,7,105,b1c3,5,9,23,b1c3 e7e5 e2e4 h7h5 h2h4 d7d6 d1e3
qnbnrkrb/pppppppp/8/8/8/8/PPPPPPPP/QNBNRKRB w GEge -,8,1025,b2b3,1,35,24,b2b3 b7b5 f1g1 c8b7 c1b2 f8g8 f2f4
qnbnrkrb/pppppppp/8/8/8/8/PPPPPPPP/QNBNRKRB w GEge -,8,1025,d2d4,2,26,24,d2d4 b7b5 b2b3 f8g8 c1b2 c8b7 c2c4
qnbnrkrb/pppppppp/8/8/8/8/PPPPPPPP/QNBNRKRB w GEge -,8,1025,g2g3,4,26,24,g2g3 g7g6 f1g1 f8g8 d2d3 h8g7 f2f4
qnbnrkrb/pppppppp/8/8/8/8/PPPPPPPP/QNBNRKRB w GEge -,8,1025,g2g4,3,18,24,g2g4 g7g6
qnbnrkrb/pppppppp/8/8/8/8/PPPPPPPP/QNBNRKRB w GEge -,8,1025,b2b4,5,18,24,b2b4 b7b6 c1b2 c8b7 f1g1 f8g8 f2f4
qbnnbrkr/pppppppp/8/8/8/8/PPPPPPPP/QBNNBRKR w HFhf -,9,385,h2h4,1,52,24,h2h4 h7h5 d2d4 d7d5 b2b3 b7b6 c2c4
qbnnbrkr/pppppppp/8/8/8/8/PPPPPPPP/QBNNBRKR w HFhf -,9,385,d2d4,2,51,24,d2d4 h7h5 h2h4 d7d5 b2b3 c7c5 d4c5
qbnnbrkr/pppppppp/8/8/8/8/PPPPPPPP/QBNNBRKR w HFhf -,9,385,b2b3,3,29,24,b2b3 c7c5 h2h4 h7h5 c2c4 b7b5 c4b5
qbnnbrkr/pppppppp/8/8/8/8/PPPPPPPP/QBNNBRKR w HFhf -,9,385,c2c4,4,29,24,c2c4 c7c5 h2h4 h7h5 b2b3 b7b5 c4b5
qbnnbrkr/pppppppp/8/8/8/8/PPPPPPPP/QBNNBRKR w HFhf -,9,385,b2b4,5,25,24,b2b4
qnnbbrkr/pppppppp/8/8/8/8/PPPPPPPP/QNNBBRKR w HFhf -,10,1360,d2d4,1,32,26,d2d4 d7d5 h2h4 h7h5 c1d3 b7b6 b2b3
qnnbbrkr/pppppppp/8/8/8/8/PPPPPPPP/QNNBBRKR w HFhf -,10,1360,h2h4,2,25,26,h2h4 h7h5 c2c4 c7c5 e2e3 b8c6 b1c3
qnnbbrkr/pppppppp/8/8/8/8/PPPPPPPP/QNNBBRKR w HFhf -,10,1360,c2c4,4,24,26,c2c4 c7c5 h2h4 h7h5 e2e3 b8c6 c1e2
qnnbbrkr/pppppppp/8/8/8/8/PPPPPPPP/QNNBBRKR w HFhf -,10,1360,b2b4,3,23,26,b2b4 h7h5
qnnbbrkr/pppppppp/8/8/8/8/PPPPPPPP/QNNBBRKR w HFhf -,10,1360,d2d3,5,18,26,d2d3 h7h5 h2h4 c7c5 b2b4 c5b4 e1b4
qnnrbbkr/pppppppp/8/8/8/8/PPPPPPPP/QNNRBBKR w HDhd -,11,209,c2c4,1,40,25,c2c4 c7c5 c1b3 e7e6 d2d4 c5d4 b3d4
qnnrbbkr/pppppppp/8/8/8/8/PPPPPPPP/QNNRBBKR w HDhd -,11,209,e2e4,2,26,25,e2e4
qnnrbbkr/pppppppp/8/8/8/8/PPPPPPPP/QNNRBBKR w HDhd -,11,209,h2h4,3,19,25,h2h4 d7d5 h4h5 h7h6 d2d4 e7e6 b2b3
qnnrbbkr/pppppppp/8/8/8/8/PPPPPPPP/QNNRBBKR w HDhd -,11,209,d2d4,4,17,25,d2d4 d7d5 h2h4 h7h5 b2b3 c8d6 c1d3
qnnrbbkr/pppppppp/8/8/8/8/PPPPPPPP/QNNRBBKR w HDhd -,11,209,e2e3,5,7,25,e2e3 d7d5 d2d4 h7h5 h2h4 c8d6 b2b3
qnnrbkrb/pppppppp/8/8/8/8/PPPPPPPP/QNNRBKRB w GDgd -,12,361,c2c4,1,30,25,c2c4
qnnrbkrb/pppppppp/8/8/8/8/PPPPPPPP/QNNRBKRB w GDgd -,12,361,d2d4,2,21,25,d2d4 d7d5 b2b3 f8g8 f1g1 g7g6 g2g3
qnnrbkrb/pppppppp/8/8/8/8/PPPPPPPP/QNNRBKRB w GDgd -,12,361,b2b3,3,19,25,b2b3 d7d5 d2d4 f8g8 f1g1 g7g6 g2g3
qnnrbkrb/pppppppp/8/8/8/8/PPPPPPPP/QNNRBKRB w GDgd -,12,361,c2c3,4,9,25,c2c3 d7d5 d2d4 b7b6 c1d3 f8g8 e1d2
qnnrbkrb/pppppppp/8/8/8/8/PPPPPPPP/QNNRBKRB w GDgd -,12,361,g2g4,5,9,25,g2g4 c7c5 c1b3 d7d6 d2d4 c5d4 b3d4
qbnnrkbr/pppppppp/8/8/8/8/PPPPPPPP/QBNNRKBR w HEhe -,13,1542,e2e4,1,44,25,e2e4 a7a5 b2b3 f7f6 d2d4 a5a4 a1b2
qbnnrkbr/pppppppp/8/8/8/8/PPPPPPPP/QBNNRKBR w HEhe -,13,1542,f2f3,2,31,25,f2f3 d7d5 b2b3 f7f6 d2d4 b7b6 g1f2
qbnnrkbr/pppppppp/8/8/8/8/PPPPPPPP/QBNNRKBR w HEhe -,13,1542,d2d4,3,30,25,d2d4 d7d5 b2b3 f7f6 f2f3 b7b6 g1f2
qbnnrkbr/pppppppp/8/8/8/8/PPPPPPPP/QBNNRKBR w HEhe -,13,1542,b2b3,4,28,25,b2b3 d7d5 f2f3 f7f6 g1f2 g8f7 d2d4
qbnnrkbr/pppppppp/8/8/8/8/PPPPPPPP/QBNNRKBR w HEhe -,13,1542,c2c3,5,24,25,c2c3 d7d5 d2d4 f7f6 e2e4 d5e4 b1e4
qnnbrkbr/pppppppp/8/8/8/8/PPPPPPPP/QNNBRKBR w HEhe -,14,534,e2e4,1,27,26,e2e4 f7f6 f2f4 g8f7 g1f2 f8h8 f1h1
qnnbrkbr/pppppppp/8/8/8/8/PPPPPPPP/QNNBRKBR w HEhe -,14,534,f2f4,2,26,26,f2f4 f7f6 e2e4 g8f7 g1f2 f8h8 f1h1
qnnbrkbr/pppppppp/8/8/8/8/PPPPPPPP/QNNBRKBR w HEhe -,14,534,b2b3,3,19,26,b2b3 d7d5 h2h3 f7f6 g1h2 g8f7 f1h1
qnnbrkbr/pppppppp/8/8/8/8/PPPPPPPP/QNNBRKBR w HEhe -,14,534,d2d4,4,13,26,d2d4 f7f6
qnnbrkbr/pppppppp/8/8/8/8/PPPPPPPP/QNNBRKBR w HEhe -,14,534,f2f3,5,10,26,f2f3 e7e5 g1f2 f7f6 e2e4 g8f7 c2c3
qnnrkbbr/pppppppp/8/8/8/8/PPPPPPPP/QNNRKBBR w HDhd -,15,1656,f2f3,2,25,24,f2f3 d7d5 d2d4 e7e6 g1f2 h7h6 c2c4
qnnrkbbr/pppppppp/8/8/8/8/PPPPPPPP/QNNRKBBR w HDhd -,15,1656,e2e4,3,24,24,e2e4 e7e5 f2f3 b8c6 c2c3 f7f6 d2d4
qnnrkbbr/pppppppp/8/8/8/8/PPPPPPPP/QNNRKBBR w HDhd -,15,1656,b2b3,4,23,24,b2b3 d7d5 f2f3 f7f6 d2d4 g8f7 g1f2
qnnrkbbr/pppppppp/8/8/8/8/PPPPPPPP/QNNRKBBR w HDhd -,15,1656,d2d4,1,21,24,d2d4 d7d5
qnnrkbbr/pppppppp/8/8/8/8/PPPPPPPP/QNNRKBBR w HDhd -,15,1656,h2h3,5,16,24,h2h3 e7e5 g1h2 b8c6 b2b3 f7f6 e2e3
qnnrkrbb/pppppppp/8/8/8/8/PPPPPPPP/QNNRKRBB w FDfd -,16,268,b2b3,1,45,23,b2b3 f7f5 f2f4 b8c6 g2g3 g8f7 d2d4
qnnrkrbb/pppppppp/8/8/8/8/PPPPPPPP/QNNRKRBB w FDfd -,16,268,g2g4,2,23,23,g2g4 g7g6 f2f4 f7f5 g4f5 g6f5 a2a4
qnnrkrbb/pppppppp/8/8/8/8/PPPPPPPP/QNNRKRBB w FDfd -,16,268,f2f4,3,22,23,f2f4 g7g6 g2g4 f7f5 g4f5 g6f5 a2a4
qnnrkrbb/pppppppp/8/8/8/8/PPPPPPPP/QNNRKRBB w FDfd -,16,268,g2g3,4,16,23,g2g3 g7g6
qnnrkrbb/pppppppp/8/8/8/8/PPPPPPPP/QNNRKRBB w FDfd -,16,268,b2b4,5,9,23,b2b4 f7f5 f2f4 c8d6 g2g3 a7a5 b4a5
bbnqnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBNQNRKR w HFhf -,17,1495,d2d4,1,39,24,d2d4 d7d5 e1f3 b7b6 h2h4 h7h5 c1d3
bbnqnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBNQNRKR w HFhf -,17,1495,h2h4,2,39,24,h2h4 h7h5 d2d4 d7d5 c1d3 b7b6 e1f3
bbnqnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBNQNRKR w HFhf -,17,1495,c2c4,3,32,24,c2c4 c7c5 h2h4 h7h5 e1f3 e8f6 c1d3
bbnqnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBNQNRKR w HFhf -,17,1495,b2b3,4,29,24,b2b3 c7c5
bbnqnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBNQNRKR w HFhf -,17,1495,e1f3,5,25,24,e1f3 c7c5 c2c4 b7b6 h2h4 e7e5 d2d3
bnqbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BNQBNRKR w HFhf -,18,1668,d2d4,1,26,27,d2d4
bnqbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BNQBNRKR w HFhf -,18,1668,c2c4,2,16,27,c2c4 c7c5 h2h4 h7h5 e2e3 b7b6 b1c3
bnqbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BNQBNRKR w HFhf -,18,1668,h2h4,3,16,27,h2h4 h7h5 c2c4 c7c5 e2e3 b7b6 b1c3
bnqbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BNQBNRKR w HFhf -,18,1668,b2b4,4,13,27,b2b4 b7b6 h2h4 h7h5 c2c4 e7e6 e2e3
bnqbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BNQBNRKR w HFhf -,18,1668,e2e3,5,11,27,e2e3 h7h5 h2h4 c7c5 c2c4 b7b6 b1c3
bnqnrbkr/pppppppp/8/8/8/8/PPPPPPPP/BNQNRBKR w HEhe -,19,130,d2d4,1,30,24,d2d4 d7d5 h2h4 b7b6 b2b3 h7h5 b1d2
bnqnrbkr/pppppppp/8/8/8/8/PPPPPPPP/BNQNRBKR w HEhe -,19,130,h2h4,2,23,24,h2h4 e7e5 h4h5 d7d5 d2d4 e5d4 h5h6
bnqnrbkr/pppppppp/8/8/8/8/PPPPPPPP/BNQNRBKR w HEhe -,19,130,e2e4,3,22,24,e2e4 e7e5 h2h4 h7h5 b2b3 b7b6 d2d3
bnqnrbkr/pppppppp/8/8/8/8/PPPPPPPP/BNQNRBKR w HEhe -,19,130,b2b3,4,20,24,b2b3 e7e5 e2e4 h7h5 h2h4 b7b6 d2d3
bnqnrbkr/pppppppp/8/8/8/8/PPPPPPPP/BNQNRBKR w HEhe -,19,130,c2c4,5,14,24,c2c4 e7e5
bnqnrkrb/pppppppp/8/8/8/8/PPPPPPPP/BNQNRKRB w GEge -,20,1639,b2b4,1,25,25,b2b4
bnqnrkrb/pppppppp/8/8/8/8/PPPPPPPP/BNQNRKRB w GEge -,20,1639,g2g3,2,25,25,g2g3 g7g6 f1g1 c7c5 b1c3 b8c6 b2b3
bnqnrkrb/pppppppp/8/8/8/8/PPPPPPPP/BNQNRKRB w GEge -,20,1639,f1g1,3,23,25,f1g1 g7g6 g2g3 c7c5 b1c3 b8c6 b2b3
bnqnrkrb/pppppppp/8/8/8/8/PPPPPPPP/BNQNRKRB w GEge -,20,1639,b2b3,4,19,25,b2b3 b7b5 e2e4 c7c5 f1g1 f8g8 g2g3
bnqnrkrb/pppppppp/8/8/8/8/PPPPPPPP/BNQNRKRB w GEge -,20,1639,c2c4,5,13,25,c2c4 g7g6 b1c3 b7b6 b2b3 f8g8 f2f4
nbbqnrkr/pppppppp/8/8/8/8/PPPPPPPP/NBBQNRKR w HFhf -,21,700,d2d4,1,33,25,d2d4 d7d5 c2c3 a8b6 e1f3 e8f6 a1b3
nbbqnrkr/pppppppp/8/8/8/8/PPPPPPPP/NBBQNRKR w HFhf -,21,700,a1b3,2,31,25,a1b3 d7d5 d2d4 a8b6 c2c3 e8f6 e1f3
nbbqnrkr/pppppppp/8/8/8/8/PPPPPPPP/NBBQNRKR w HFhf -,21,700,e2e4,3,26,25,e2e4 d7d5 e4e5 f7f6 d2d4 c7c5 d4c5
nbbqnrkr/pppppppp/8/8/8/8/PPPPPPPP/NBBQNRKR w HFhf -,21,700,c2c4,5,22,25,c2c4 c7c6 d2d4 d7d5 c4d5 c6d5 a1b3
nbbqnrkr/pppppppp/8/8/8/8/PPPPPPPP/NBBQNRKR w HFhf -,21,700,c2c3,4,21,25,c2c3 c7c5
nqbbnrkr/pppppppp/8/8/8/8/PPPPPPPP/NQBBNRKR w HFhf -,22,881,e2e4,1,31,24,e2e4 c7c5 e1f3 d7d6 f1e1 e8f6 c2c3
nqbbnrkr/pppppppp/8/8/8/8/PPPPPPPP/NQBBNRKR w HFhf -,22,881,d2d4,2,30,24,d2d4 c7c5 d4c5 b7b6 a1b3 b6c5 b3c5
nqbbnrkr/pppppppp/8/8/8/8/PPPPPPPP/NQBBNRKR w HFhf -,22,881,c2c4,3,25,24,c2c4 c7c6 e1f3 d7d5 e2e4 d5e4 b1e4
nqbbnrkr/pppppppp/8/8/8/8/PPPPPPPP/NQBBNRKR w HFhf -,22,881,e1f3,4,21,24,e1f3 d7d5 c2c4 c7c6 e2e4 d5e4 b1e4
nqbbnrkr/pppppppp/8/8/8/8/PPPPPPPP/NQBBNRKR w HFhf -,22,881,c2c3,5,18,24,c2c3 e7e5
nqbnrbkr/pppppppp/8/8/8/8/PPPPPPPP/NQBNRBKR w HEhe -,23,1052,e2e4,3,32,26,e2e4 e7e5 c2c3 c7c5 a1c2 d8c6 h2h4
nqbnrbkr/pppppppp/8/8/8/8/PPPPPPPP/NQBNRBKR w HEhe -,23,1052,h2h4,4,32,26,h2h4 e7e5 e2e4 h7h5 c2c3 c7c5 a1c2
nqbnrbkr/pppppppp/8/8/8/8/PPPPPPPP/NQBNRBKR w HEhe -,23,1052,c2c3,1,28,26,c2c3 e7e5 e2e4 c7c5 a1c2 d8c6 h2h4
nqbnrbkr/pppppppp/8/8/8/8/PPPPPPPP/NQBNRBKR w HEhe -,23,1052,d2d4,2,27,26,d2d4 d7d5
nqbnrbkr/pppppppp/8/8/8/8/PPPPPPPP/NQBNRBKR w HEhe -,23,1052,c2c4,5,27,26,c2c4 e7e5 a1c2 a8b6 e2e4 d8e6 h2h4
nqbnrkrb/pppppppp/8/8/8/8/PPPPPPPP/NQBNRKRB w GEge -,24,991,f1g1,1,25,27,f1g1 f8g8 g2g3 g7g6 c2c3 e7e5 e2e4
nqbnrkrb/pppppppp/8/8/8/8/PPPPPPPP/NQBNRKRB w GEge -,24,991,g2g3,2,23,27,g2g3 g7g6 f1g1 d7d6 h1g2 b7b5 b2b4
nqbnrkrb/pppppppp/8/8/8/8/PPPPPPPP/NQBNRKRB w GEge -,24,991,d2d3,3,21,27,d2d3 g7g6 g2g3 h8g7 b2b4 f8g8 f1g1
nqbnrkrb/pppppppp/8/8/8/8/PPPPPPPP/NQBNRKRB w GEge -,24,991,e2e4,4,20,27,e2e4 g7g6 f1g1 c7c5 c2c3 f8g8 g2g3
nqbnrkrb/pppppppp/8/8/8/8/PPPPPPPP/NQBNRKRB w GEge -,24,991,c2c3,5,19,27,c2c3 g7g6 e2e4 c7c5 f1g1 f8g8 g2g3
nbqnbrkr/pppppppp/8/8/8/8/PPPPPPPP/NBQNBRKR w HFhf -,25,1205,d2d4,1,60,22,d2d4 f7f5 c2c4 a8b6 a1b3 c7c6 d1e3
nbqnbrkr/pppppppp/8/8/8/8/PPPPPPPP/NBQNBRKR w HFhf -,25,1205,c2c4,2,56,22,c2c4 d8e6 f2f4 f7f5 f1f2 f8f7 g1h1
nbqnbrkr/pppppppp/8/8/8/8/PPPPPPPP/NBQNBRKR w HFhf -,25,1205,a1b3,3,37,22,a1b3 d8e6 d2d4 d7d5 h2h4 a8b6 e1b4
nbqnbrkr/pppppppp/8/8/8/8/PPPPPPPP/NBQNBRKR w HFhf -,25,1205,d1e3,5,28,22,d1e3 f7f5 c2c4 f5f4 e3d5 f8f7 f2f3
nbqnbrkr/pppppppp/8/8/8/8/PPPPPPPP/NBQNBRKR w HFhf -,25,1205,h2h4,4,27,22,h2h4
nqnbbrkr/pppppppp/8/8/8/8/PPPPPPPP/NQNBBRKR w HFhf -,26,440,d2d4,1,35,25,d2d4
nqnbbrkr/pppppppp/8/8/8/8/PPPPPPPP/NQNBBRKR w HFhf -,26,440,h2h4,2,31,25,h2h4 h7h5 d2d4 d7d5 c2c3 a8b6 c1d3
nqnbbrkr/pppppppp/8/8/8/8/PPPPPPPP/NQNBBRKR w HFhf -,26,440,e2e4,3,28,25,e2e4 c7c5 h2h4 h7h5 c2c4 d7d6 b2b4
nqnbbrkr/pppppppp/8/8/8/8/PPPPPPPP/NQNBBRKR w HFhf -,26,440,c2c4,4,28,25,c2c4 c7c5 h2h4 h7h5 e2e4 d7d6 b2b4
nqnbbrkr/pppppppp/8/8/8/8/PPPPPPPP/NQNBBRKR w HFhf -,26,440,a1b3,5,15,25,a1b3 d7d5 d2d4 h7h5 h2h4 a8b6 c2c3
nqnrbbkr/pppppppp/8/8/8/8/PPPPPPPP/NQNRBBKR w HDhd -,27,0,c2c4,1,40,26,c2c4 c7c5 a1c2 e7e6 d2d4 c5d4 c2d4
nqnrbbkr/pppppppp/8/8/8/8/PPPPPPPP/NQNRBBKR w HDhd -,27,0,e2e4,2,22,26,e2e4 c7c5 b2b4 d7d6 c2c4 h7h5 h2h4
nqnrbbkr/pppppppp/8/8/8/8/PPPPPPPP/NQNRBBKR w HDhd -,27,0,h2h4,3,17,26,h2h4 d7d5 d2d4 h7h5 a1b3 c8d6 b3d2
nqnrbbkr/pppppppp/8/8/8/8/PPPPPPPP/NQNRBBKR w HDhd -,27,0,a1b3,4,16,26,a1b3 d7d5 d2d4 h7h5 h2h4 c8d6 b3d2
nqnrbbkr/pppppppp/8/8/8/8/PPPPPPPP/NQNRBBKR w HDhd -,27,0,d2d4,5,15,26,d2d4 d7d5 h2h4 h7h5 a1b3 c8d6 b3d2
nqnrbkrb/pppppppp/8/8/8/8/PPPPPPPP/NQNRBKRB w GDgd -,28,165,c2c4,1,31,27,c2c4 c7c6
nqnrbkrb/pppppppp/8/8/8/8/PPPPPPPP/NQNRBKRB w GDgd -,28,165,d2d4,2,18,27,d2d4 d7d5 g2g3 f8g8 f1g1 c7c6 c1d3
nqnrbkrb/pppppppp/8/8/8/8/PPPPPPPP/NQNRBKRB w GDgd -,28,165,f1g1,3,17,27,f1g1 d7d5 d2d4 f8g8 c1d3 g7g6 c2c3
nqnrbkrb/pppppppp/8/8/8/8/PPPPPPPP/NQNRBKRB w GDgd -,28,165,g2g3,4,14,27,g2g3 d7d5 d2d4 f8g8 c1d3 g7g6 c2c3
nqnrbkrb/pppppppp/8/8/8/8/PPPPPPPP/NQNRBKRB w GDgd -,28,165,c2c3,5,12,27,c2c3 c7c5 d2d4 c5d4 c3d4 g7g6 a1c2
nbqnrkbr/pppppppp/8/8/8/8/PPPPPPPP/NBQNRKBR w HEhe -,29,105,d2d4,1,30,24,d2d4 c7c6 c2c4 d8e6 a1b3 h7h5 h2h4
nbqnrkbr/pppppppp/8/8/8/8/PPPPPPPP/NBQNRKBR w HEhe -,29,105,f2f3,2,25,24,f2f3 c7c5 c2c4 f7f6 b2b3 b7b6 a1c2
nbqnrkbr/pppppppp/8/8/8/8/PPPPPPPP/NBQNRKBR w HEhe -,29,105,c2c4,3,19,24,c2c4 c7c5 f2f3 f7f6 b2b3 b7b6 a1c2
nbqnrkbr/pppppppp/8/8/8/8/PPPPPPPP/NBQNRKBR w HEhe -,29,105,e2e4,4,16,24,e2e4 c7c5 f2f3 f7f6 c2c4 b7b6 b2b3
nbqnrkbr/pppppppp/8/8/8/8/PPPPPPPP/NBQNRKBR w HEhe -,29,105,h2h4,5,11,24,h2h4 c7c5 c2c4 h7h5 d1c3 d8c6 a1c2
nqnbrkbr/pppppppp/8/8/8/8/PPPPPPPP/NQNBRKBR w HEhe -,30,1927,f2f4,1,12,25,f2f4 f7f6 e2e4 e7e5 f4e5 f6e5 g1f2
