epd,posnum,complexity,move,top,score,depth,pv
bnrbnqkr/pppppppp/8/8/8/8/PPPPPPPP/BNRBNQKR w HChc -,146,1983,e2e3,3,21,27,e2e3 c7c5 c2c4 e7e6 f2f4 b7b6 b2b3
bnrbnqkr/pppppppp/8/8/8/8/PPPPPPPP/BNRBNQKR w HChc -,146,1983,b2b3,4,21,27,b2b3 e7e6 c2c4 c7c5 e2e3 b7b6 f2f4
bnrbnqkr/pppppppp/8/8/8/8/PPPPPPPP/BNRBNQKR w HChc -,146,1983,d2d4,5,12,27,d2d4 e7e6 c2c4 c7c5 d4c5 f8c5 e1d3
bnrnqbkr/pppppppp/8/8/8/8/PPPPPPPP/BNRNQBKR w HChc -,147,729,d2d4,1,48,25,d2d4
bnrnqbkr/pppppppp/8/8/8/8/PPPPPPPP/BNRNQBKR w HChc -,147,729,h2h4,2,44,25,h2h4 d7d5 d2d4 h7h5 b1d2 b7b6 b2b3
bnrnqbkr/pppppppp/8/8/8/8/PPPPPPPP/BNRNQBKR w HChc -,147,729,b2b3,3,32,25,b2b3 e7e5 e2e4 h7h5 h2h4 b7b6 b1c3
bnrnqbkr/pppppppp/8/8/8/8/PPPPPPPP/BNRNQBKR w HChc -,147,729,e2e4,4,28,25,e2e4 c7c5 h2h4 h7h5 g2g3 b7b6 f1g2
bnrnqbkr/pppppppp/8/8/8/8/PPPPPPPP/BNRNQBKR w HChc -,147,729,c2c4,5,28,25,c2c4 e7e5 h2h4 h7h5 b2b3 b7b6 b1c3
bnrnqkrb/pppppppp/8/8/8/8/PPPPPPPP/BNRNQKRB w GCgc -,148,499,g2g4,1,43,23,g2g4 g7g5 h2h4 d8e6 h4g5 e6g5 b1c3
bnrnqkrb/pppppppp/8/8/8/8/PPPPPPPP/BNRNQKRB w GCgc -,148,499,b2b3,2,30,23,b2b3 b7b5 e2e4 c7c5 f1g1 b5b4 g2g3
bnrnqkrb/pppppppp/8/8/8/8/PPPPPPPP/BNRNQKRB w GCgc -,148,499,g2g3,3,27,23,g2g3 g7g6 f2f4 f7f5 e2e3 e7e6 c2c4
bnrnqkrb/pppppppp/8/8/8/8/PPPPPPPP/BNRNQKRB w GCgc -,148,499,b2b4,4,23,23,b2b4 b7b6
bnrnqkrb/pppppppp/8/8/8/8/PPPPPPPP/BNRNQKRB w GCgc -,148,499,f1g1,5,16,23,f1g1 g7g5 g2g3 d8e6 d1e3 b8c6 h1e4
nbbrnqkr/pppppppp/8/8/8/8/PPPPPPPP/NBBRNQKR w HDhd -,149,109,e2e4,1,43,24,e2e4 e7e5 a1b3 c7c6 d2d4 e5d4 b3d4
nbbrnqkr/pppppppp/8/8/8/8/PPPPPPPP/NBBRNQKR w HDhd -,149,109,d2d4,2,29,24,d2d4 d7d5 e1d3 f7f6 f1e1 c7c6 g1h1
nbbrnqkr/pppppppp/8/8/8/8/PPPPPPPP/NBBRNQKR w HDhd -,149,109,c2c4,3,26,24,c2c4 c7c6 d2d4 d7d5 c4d5 c6d5 f2f3
nbbrnqkr/pppppppp/8/8/8/8/PPPPPPPP/NBBRNQKR w HDhd -,149,109,c2c3,4,19,24,c2c3 d7d5 d2d4 c7c6 a1b3 a8b6 e1d3
nbbrnqkr/pppppppp/8/8/8/8/PPPPPPPP/NBBRNQKR w HDhd -,149,109,a1b3,5,17,24,a1b3 d7d5 d2d4 c7c6 c2c3 a8b6 e1d3
nrbbnqkr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNQKR w HBhb -,150,779,d2d4,1,33,25,d2d4 d7d5 e1d3 e8d6 f1e1 f8e8 f2f3
nrbbnqkr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNQKR w HBhb -,150,779,d2d3,2,28,25,d2d3 e7e5 e2e4 f8e7 f1e2 d7d6 f2f4
nrbbnqkr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNQKR w HBhb -,150,779,e2e4,3,24,25,e2e4 e7e5 f1e2 f8e7 d2d3 d7d6 g1h1
nrbbnqkr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNQKR w HBhb -,150,779,c2c4,4,19,25,c2c4 e7e5 e2e4 d7d6 f1e2 c7c6 g1h1
nrbbnqkr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNQKR w HBhb -,150,779,c2c3,5,17,25,c2c3 e7e5
nrbnqbkr/pppppppp/8/8/8/8/PPPPPPPP/NRBNQBKR w HBhb -,151,1499,h2h4,1,35,25,h2h4 e7e5 e2e4 d7d6 a1b3 d8e6 d2d3
nrbnqbkr/pppppppp/8/8/8/8/PPPPPPPP/NRBNQBKR w HBhb -,151,1499,e2e4,2,34,25,e2e4 e7e5 h2h4 d7d6 a1b3 d8e6 d2d3
nrbnqbkr/pppppppp/8/8/8/8/PPPPPPPP/NRBNQBKR w HBhb -,151,1499,a1b3,3,24,25,a1b3 e7e5
nrbnqbkr/pppppppp/8/8/8/8/PPPPPPPP/NRBNQBKR w HBhb -,151,1499,d2d4,4,16,25,d2d4 e7e5 d4e5 e8e5 a1b3 d7d5 g2g3
nrbnqbkr/pppppppp/8/8/8/8/PPPPPPPP/NRBNQBKR w HBhb -,151,1499,b2b4,5,16,25,b2b4 e7e5 e2e4 h7h5 h2h4 d7d6 a1b3
nrbnqkrb/pppppppp/8/8/8/8/PPPPPPPP/NRBNQKRB w GBgb -,152,1845,d2d3,3,21,24,d2d3 d7d6 g2g4 a8b6 f2f4 g7g6 e2e4
nrbnqkrb/pppppppp/8/8/8/8/PPPPPPPP/NRBNQKRB w GBgb -,152,1845,b2b4,1,14,24,b2b4 d7d6 d2d3 f7f5 f2f4 g7g6 g2g3
nrbnqkrb/pppppppp/8/8/8/8/PPPPPPPP/NRBNQKRB w GBgb -,152,1845,f1g1,4,12,24,f1g1 d7d6 d2d3 f7f5 g2g3 f8g8 c2c4
nrbnqkrb/pppppppp/8/8/8/8/PPPPPPPP/NRBNQKRB w GBgb -,152,1845,f2f4,5,11,24,f2f4 g7g6 b2b4 d7d6 a1b3 f8g8 f1g1
nrbnqkrb/pppppppp/8/8/8/8/PPPPPPPP/NRBNQKRB w GBgb -,152,1845,g2g4,2,10,24,g2g4 d7d6
nbrnbqkr/pppppppp/8/8/8/8/PPPPPPPP/NBRNBQKR w HChc -,153,1634,c2c4,1,25,24,c2c4 c7c5 f2f4 a8b6 a1b3 e7e6 f1f3
nbrnbqkr/pppppppp/8/8/8/8/PPPPPPPP/NBRNBQKR w HChc -,153,1634,d2d4,2,19,24,d2d4 d7d5 a1b3 a8b6 h2h4 h7h5 f2f4
nbrnbqkr/pppppppp/8/8/8/8/PPPPPPPP/NBRNBQKR w HChc -,153,1634,h2h4,3,19,24,h2h4 d7d5 d2d4 a8b6 a1b3 h7h5 f2f4
nbrnbqkr/pppppppp/8/8/8/8/PPPPPPPP/NBRNBQKR w HChc -,153,1634,f2f4,4,16,24,f2f4 d7d5 a1b3 a8b6 d2d4 f7f5 c2c3
nbrnbqkr/pppppppp/8/8/8/8/PPPPPPPP/NBRNBQKR w HChc -,153,1634,a1b3,5,15,24,a1b3 d7d5 d2d4 a8b6 c2c3 f7f5 f2f4
nrnbbqkr/pppppppp/8/8/8/8/PPPPPPPP/NRNBBQKR w HBhb -,154,35,d2d4,1,38,23,d2d4 f7f5 e2e3 a8b6 c2c4 d7d6 c4c5
nrnbbqkr/pppppppp/8/8/8/8/PPPPPPPP/NRNBBQKR w HBhb -,154,35,e2e4,2,27,23,e2e4 d7d6 c2c3 c7c5 h2h4 a8c7 h4h5
nrnbbqkr/pppppppp/8/8/8/8/PPPPPPPP/NRNBBQKR w HBhb -,154,35,c2c4,3,26,23,c2c4 e7e5 f2f4 e5e4 d2d3 c7c6 d3e4
nrnbbqkr/pppppppp/8/8/8/8/PPPPPPPP/NRNBBQKR w HBhb -,154,35,f2f4,4,25,23,f2f4 c7c5 e2e4 f7f5 e4e5 b7b5 c2c3
nrnbbqkr/pppppppp/8/8/8/8/PPPPPPPP/NRNBBQKR w HBhb -,154,35,d2d3,5,22,23,d2d3 f7f5 f2f4 f8f6 f1f3 g8h8 g1h1
nrnqbbkr/pppppppp/8/8/8/8/PPPPPPPP/NRNQBBKR w HBhb -,155,1084,c2c4,1,27,25,c2c4 e7e5 e2e4 c7c5 a1c2 h7h5 b2b4
nrnqbbkr/pppppppp/8/8/8/8/PPPPPPPP/NRNQBBKR w HBhb -,155,1084,e2e4,2,27,25,e2e4 e7e5 c2c4 c7c5 a1c2 h7h5 b2b4
nrnqbbkr/pppppppp/8/8/8/8/PPPPPPPP/NRNQBBKR w HBhb -,155,1084,h2h4,3,20,25,h2h4 d7d5 d2d4 h7h5 a1b3 a8b6 c1d3
nrnqbbkr/pppppppp/8/8/8/8/PPPPPPPP/NRNQBBKR w HBhb -,155,1084,d2d4,4,19,25,d2d4 d7d5 h2h4 h7h5 a1b3 a8b6 c1d3
nrnqbbkr/pppppppp/8/8/8/8/PPPPPPPP/NRNQBBKR w HBhb -,155,1084,c2c3,5,11,25,c2c3
nrnqbkrb/pppppppp/8/8/8/8/PPPPPPPP/NRNQBKRB w GBgb -,156,196,c2c4,1,27,27,c2c4 c7c5 a1c2 g7g6 b2b4 c5b4 c2b4
nrnqbkrb/pppppppp/8/8/8/8/PPPPPPPP/NRNQBKRB w GBgb -,156,196,e2e4,2,20,27,e2e4
nrnqbkrb/pppppppp/8/8/8/8/PPPPPPPP/NRNQBKRB w GBgb -,156,196,d2d4,3,13,27,d2d4 d7d5 g2g3 g7g6 f1g1 f8g8 b2b3
nrnqbkrb/pppppppp/8/8/8/8/PPPPPPPP/NRNQBKRB w GBgb -,156,196,f1g1,4,10,27,f1g1 d7d5 d2d4 g7g6 g2g3 f8g8 b2b3
nrnqbkrb/pppppppp/8/8/8/8/PPPPPPPP/NRNQBKRB w GBgb -,156,196,g2g3,5,10,27,g2g3 d7d5 d2d4 g7g6 f1g1 f8g8 b2b3
nbrnqkbr/pppppppp/8/8/8/8/PPPPPPPP/NBRNQKBR w HChc -,157,1088,d2d4,1,18,25,d2d4 f7f6 c2c4 c7c5 d4c5 c8c5 d1e3
nbrnqkbr/pppppppp/8/8/8/8/PPPPPPPP/NBRNQKBR w HChc -,157,1088,h2h4,3,13,25,h2h4 c7c5 c2c4 f7f6 b2b3 a8c7 g1h2
nbrnqkbr/pppppppp/8/8/8/8/PPPPPPPP/NBRNQKBR w HChc -,157,1088,c2c4,2,11,25,c2c4 c7c5
nbrnqkbr/pppppppp/8/8/8/8/PPPPPPPP/NBRNQKBR w HChc -,157,1088,f2f3,4,11,25,f2f3 c7c5 c2c4 f7f6 b2b3 b7b6 a1c2
nbrnqkbr/pppppppp/8/8/8/8/PPPPPPPP/NBRNQKBR w HChc -,157,1088,b2b4,5,5,25,b2b4 d7d6 f2f3 c7c5 d2d3 f7f6 c2c4
nrnbqkbr/pppppppp/8/8/8/8/PPPPPPPP/NRNBQKBR w HBhb -,158,461,f2f4,1,25,25,f2f4 f7f6 e2e4 g8f7 g1e3 f8h8 f1h1
nrnbqkbr/pppppppp/8/8/8/8/PPPPPPPP/NRNBQKBR w HBhb -,158,461,e2e4,3,20,25,e2e4 e7e5 a1b3 a8b6 f2f3 f7f6 g1f2
nrnbqkbr/pppppppp/8/8/8/8/PPPPPPPP/NRNBQKBR w HBhb -,158,461,a1b3,2,19,25,a1b3 e7e5
nrnbqkbr/pppppppp/8/8/8/8/PPPPPPPP/NRNBQKBR w HBhb -,158,461,f2f3,4,14,25,f2f3 f7f6 g1f2 g8f7 f1h1 e7e5 d2d4
nrnbqkbr/pppppppp/8/8/8/8/PPPPPPPP/NRNBQKBR w HBhb -,158,461,d2d4,5,14,25,d2d4 f7f6 f2f3 e7e5 e2e4 g8c4 d1e2
nrnqkbbr/pppppppp/8/8/8/8/PPPPPPPP/NRNQKBBR w HBhb -,159,166,e2e4,1,51,24,e2e4 e7e5 a1b3 d8h4 d1e2 c8d6 d2d3
nrnqkbbr/pppppppp/8/8/8/8/PPPPPPPP/NRNQKBBR w HBhb -,159,166,a1b3,2,43,24,a1b3 d7d5 d2d4 f7f6 c1d3 c8d6 f2f3
nrnqkbbr/pppppppp/8/8/8/8/PPPPPPPP/NRNQKBBR w HBhb -,159,166,d2d4,3,34,24,d2d4 a8b6 a1b3 f7f5 f2f3 c8d6 b3d2
nrnqkbbr/pppppppp/8/8/8/8/PPPPPPPP/NRNQKBBR w HBhb -,159,166,f2f3,4,30,24,f2f3 e7e5 e2e4 f7f6 a1b3 g8f7 g1f2
nrnqkbbr/pppppppp/8/8/8/8/PPPPPPPP/NRNQKBBR w HBhb -,159,166,f2f4,5,28,24,f2f4 d7d5 a1b3 a8b6 g2g3 h7h5 f1g2
nrnqkrbb/pppppppp/8/8/8/8/PPPPPPPP/NRNQKRBB w FBfb -,160,560,e2e4,1,45,24,e2e4 e7e5
nrnqkrbb/pppppppp/8/8/8/8/PPPPPPPP/NRNQKRBB w FBfb -,160,560,f2f4,2,25,24,f2f4 f7f5 d2d3 g7g6 g2g3 d7d6 g1f2
nrnqkrbb/pppppppp/8/8/8/8/PPPPPPPP/NRNQKRBB w FBfb -,160,560,g2g3,3,25,24,g2g3 f7f5 f2f4 g7g6 d2d3 d7d6 g1f2
nrnqkrbb/pppppppp/8/8/8/8/PPPPPPPP/NRNQKRBB w FBfb -,160,560,a1b3,4,18,24,a1b3 f7f5 f2f4 d7d6 e2e4 f5e4 g2g3
nrnqkrbb/pppppppp/8/8/8/8/PPPPPPPP/NRNQKRBB w FBfb -,160,560,d2d3,5,10,24,d2d3 e7e5 f2f4 e5f4 f1f4 f7f5 d1d2
bbnrnkqr/pppppppp/8/8/8/8/PPPPPPPP/BBNRNKQR w HDhd -,161,935,f2f3,1,28,25,f2f3 d7d5 g1f2 f7f6 d2d4 g8f7 f1h1
bbnrnkqr/pppppppp/8/8/8/8/PPPPPPPP/BBNRNKQR w HDhd -,161,935,d2d4,2,23,25,d2d4
bbnrnkqr/pppppppp/8/8/8/8/PPPPPPPP/BBNRNKQR w HDhd -,161,935,b2b3,3,23,25,b2b3 c7c5 c2c4 f7f6 f2f3 b7b6 g1f2
bbnrnkqr/pppppppp/8/8/8/8/PPPPPPPP/BBNRNKQR w HDhd -,161,935,c2c4,4,18,25,c2c4 f7f6 b2b3 c7c5 e2e4 b7b6 c1e2
bbnrnkqr/pppppppp/8/8/8/8/PPPPPPPP/BBNRNKQR w HDhd -,161,935,f2f4,5,15,25,f2f4 b7b6
bnrbnkqr/pppppppp/8/8/8/8/PPPPPPPP/BNRBNKQR w HChc -,162,975,f2f4,1,28,25,f2f4 c7c5 c2c4 b7b6 b2b3 e7e6 e2e3
bnrbnkqr/pppppppp/8/8/8/8/PPPPPPPP/BNRBNKQR w HChc -,162,975,b2b3,2,28,25,b2b3 f7f5 e2e3 c7c5 c2c4 b7b6 f2f4
bnrbnkqr/pppppppp/8/8/8/8/PPPPPPPP/BNRBNKQR w HChc -,162,975,c2c4,3,23,25,c2c4 b7b6 d2d4 c7c5 f2f3 e7e6 d4c5
bnrbnkqr/pppppppp/8/8/8/8/PPPPPPPP/BNRBNKQR w HChc -,162,975,d2d4,4,22,25,d2d4 b7b6 c2c4 c7c5 f2f3 e7e6 d4c5
bnrbnkqr/pppppppp/8/8/8/8/PPPPPPPP/BNRBNKQR w HChc -,162,975,f2f3,5,16,25,f2f3 c7c5 c2c4 b7b6 d2d4 e7e6 d4c5
bnrnkbqr/pppppppp/8/8/8/8/PPPPPPPP/BNRNKBQR w HChc -,163,1042,g2g3,1,31,25,g2g3 e7e6 f1g2 f7f5 f2f4 c7c5 b2b3
bnrnkbqr/pppppppp/8/8/8/8/PPPPPPPP/BNRNKBQR w HChc -,163,1042,f2f3,3,26,25,f2f3 b7b6 b2b3 e7e6 d1f2 f7f6 e1c1
bnrnkbqr/pppppppp/8/8/8/8/PPPPPPPP/BNRNKBQR w HChc -,163,1042,b2b3,2,24,25,b2b3 b7b6 f2f3 e7e6 d1f2 h7h5 e1c1
bnrnkbqr/pppppppp/8/8/8/8/PPPPPPPP/BNRNKBQR w HChc -,163,1042,h2h4,4,18,25,h2h4 b7b6 b2b3 h7h5 b1c3 e7e5 e2e4
bnrnkbqr/pppppppp/8/8/8/8/PPPPPPPP/BNRNKBQR w HChc -,163,1042,e2e3,5,11,25,e2e3 b7b6 b2b3 e7e6 f2f3 h7h5 d1f2
bnrnkqrb/pppppppp/8/8/8/8/PPPPPPPP/BNRNKQRB w GCgc -,164,0,g2g4,1,35,25,g2g4 g7g5 e2e3 e7e6 c2c4 b8c6 d1c3
bnrnkqrb/pppppppp/8/8/8/8/PPPPPPPP/BNRNKQRB w GCgc -,164,0,b2b3,2,18,25,b2b3 b7b6 f2f4 f7f5 d1f2 d8f7 e1c1
bnrnkqrb/pppppppp/8/8/8/8/PPPPPPPP/BNRNKQRB w GCgc -,164,0,g2g3,3,9,25,g2g3 g7g5 e2e4 e7e6 d1e3 b7b6 e1c1
bnrnkqrb/pppppppp/8/8/8/8/PPPPPPPP/BNRNKQRB w GCgc -,164,0,e2e3,4,7,25,e2e3 b7b6
bnrnkqrb/pppppppp/8/8/8/8/PPPPPPPP/BNRNKQRB w GCgc -,164,0,f2f4,5,4,25,f2f4 g7g5 g2g3 e7e6 b1c3 g5f4 g3f4
nbbrnkqr/pppppppp/8/8/8/8/PPPPPPPP/NBBRNKQR w HDhd -,165,2107,d2d4,1,39,25,d2d4 f7f6 f2f3 g8f7 g1f2 c7c6 e1d3
nbbrnkqr/pppppppp/8/8/8/8/PPPPPPPP/NBBRNKQR w HDhd -,165,2107,f2f3,2,39,25,f2f3 f7f6 g1f2 g8f7 d2d4 c7c6 e1d3
nbbrnkqr/pppppppp/8/8/8/8/PPPPPPPP/NBBRNKQR w HDhd -,165,2107,c2c3,3,35,25,c2c3 f7f6 f2f3 g8f7 g1f2 c7c6 d2d4
nbbrnkqr/pppppppp/8/8/8/8/PPPPPPPP/NBBRNKQR w HDhd -,165,2107,f2f4,4,30,25,f2f4 c7c6 d2d3 f7f6 g1f2 g8f7 f1h1
nbbrnkqr/pppppppp/8/8/8/8/PPPPPPPP/NBBRNKQR w HDhd -,165,2107,e2e4,5,29,25,e2e4 f7f6 f2f3 g8f7 g1f2 d7d5 c2c3
nrbbnkqr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNKQR w HBhb -,166,477,c2c4,1,69,23,c2c4 c7c5 f2f4 b7b6 d2d3 f7f5 b2b4
nrbbnkqr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNKQR w HBhb -,166,477,d2d3,2,29,23,d2d3 b7b5 f2f4 a8b6 a1b3 f7f5 g1c5
nrbbnkqr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNKQR w HBhb -,166,477,f2f3,3,22,23,f2f3 b7b6
nrbbnkqr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNKQR w HBhb -,166,477,b2b4,4,20,23,b2b4 f7f5 a1b3 b7b5 f2f4 a8b6 e1f3
nrbbnkqr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNKQR w HBhb -,166,477,f2f4,5,20,23,f2f4 f7f5 b2b3 b7b6 e1f3 c7c5 c2c4
nrbnkbqr/pppppppp/8/8/8/8/PPPPPPPP/NRBNKBQR w HBhb -,167,1785,f2f4,1,37,22,f2f4 a8b6 g1f2 d7d5 e2e3 f7f6 f1e2
nrbnkbqr/pppppppp/8/8/8/8/PPPPPPPP/NRBNKBQR w HBhb -,167,1785,a1b3,2,35,22,a1b3 f7f5 f2f3 e7e5 e2e4 d8c6 d1c3
nrbnkbqr/pppppppp/8/8/8/8/PPPPPPPP/NRBNKBQR w HBhb -,167,1785,f2f3,3,35,22,f2f3 f7f5 a1b3 e7e5 e2e4 d8c6 d1c3
nrbnkbqr/pppppppp/8/8/8/8/PPPPPPPP/NRBNKBQR w HBhb -,167,1785,d2d4,4,19,22,d2d4 e7e5 a1b3 e5d4 b3d4 f7f5 c1d2
nrbnkbqr/pppppppp/8/8/8/8/PPPPPPPP/NRBNKBQR w HBhb -,167,1785,c2c4,5,3,22,c2c4 a7a6
nrbnkqrb/pppppppp/8/8/8/8/PPPPPPPP/NRBNKQRB w GBgb -,168,1162,f2f4,1,26,24,f2f4 f7f5 f1f2 b7b6 b2b4 f8f7 a1b3
nrbnkqrb/pppppppp/8/8/8/8/PPPPPPPP/NRBNKQRB w GBgb -,168,1162,b2b4,2,22,24,b2b4 g7g6 f2f4 f7f5 g2g3 b7b5 a1b3
nrbnkqrb/pppppppp/8/8/8/8/PPPPPPPP/NRBNKQRB w GBgb -,168,1162,g2g3,3,18,24,g2g3 f7f5
nrbnkqrb/pppppppp/8/8/8/8/PPPPPPPP/NRBNKQRB w GBgb -,168,1162,d2d4,4,14,24,d2d4 g7g6 a1b3 f7f5 g2g3 a8b6 d1c3
nrbnkqrb/pppppppp/8/8/8/8/PPPPPPPP/NRBNKQRB w GBgb -,168,1162,a1b3,5,14,24,a1b3 d7d6 g2g4 g7g6 d2d4 a8b6 d1c3
nbrnbkqr/pppppppp/8/8/8/8/PPPPPPPP/NBRNBKQR w HChc -,169,1058,f2f3,1,25,24,f2f3 f7f6 c2c4 c7c5 a1b3 d7d6 g1f2
nbrnbkqr/pppppppp/8/8/8/8/PPPPPPPP/NBRNBKQR w HChc -,169,1058,h2h4,4,25,24,h2h4 c7c5 f2f3 f7f6 h4h5 d7d5 c2c3
nbrnbkqr/pppppppp/8/8/8/8/PPPPPPPP/NBRNBKQR w HChc -,169,1058,a1b3,5,22,24,a1b3 c7c5 c2c4 a8b6 f2f3 d7d6 g1f2
nbrnbkqr/pppppppp/8/8/8/8/PPPPPPPP/NBRNBKQR w HChc -,169,1058,c2c4,2,21,24,c2c4 c7c5 f2f3 f7f6 a1b3 d7d6 g1f2
nbrnbkqr/pppppppp/8/8/8/8/PPPPPPPP/NBRNBKQR w HChc -,169,1058,d2d4,3,19,24,d2d4 f7f6
nrnbbkqr/pppppppp/8/8/8/8/PPPPPPPP/NRNBBKQR w HBhb -,170,855,c2c4,1,46,24,c2c4 f7f5 d2d3 c7c5 a1c2 g8f7 f2f4
nrnbbkqr/pppppppp/8/8/8/8/PPPPPPPP/NRNBBKQR w HBhb -,170,855,b2b4,2,28,24,b2b4 f7f5
nrnbbkqr/pppppppp/8/8/8/8/PPPPPPPP/NRNBBKQR w HBhb -,170,855,d2d3,3,27,24,d2d3 c7c5 f2f4 d7d6 g1f2 f7f5 c2c4
nrnbbkqr/pppppppp/8/8/8/8/PPPPPPPP/NRNBBKQR w HBhb -,170,855,e2e4,4,23,24,e2e4 c7c5 f2f4 c5c4 d1f3 f7f6 b2b3
nrnbbkqr/pppppppp/8/8/8/8/PPPPPPPP/NRNBBKQR w HBhb -,170,855,f2f4,5,11,24,f2f4 f7f5 d2d3 b7b5 g1f2 g8f7 b2b4
nrnkbbqr/pppppppp/8/8/8/8/PPPPPPPP/NRNKBBQR w HBhb -,171,565,a1b3,1,33,23,a1b3 a8b6 e2e4 e7e5 f2f3 f7f6 d2d4
nrnkbbqr/pppppppp/8/8/8/8/PPPPPPPP/NRNKBBQR w HBhb -,171,565,e2e4,2,30,23,e2e4 a8b6 a1b3 e7e5 f2f3 f7f6 d2d4
nrnkbbqr/pppppppp/8/8/8/8/PPPPPPPP/NRNKBBQR w HBhb -,171,565,f2f3,3,23,23,f2f3 e7e5 e2e4 f7f6 a1b3 a8b6 d2d4
nrnkbbqr/pppppppp/8/8/8/8/PPPPPPPP/NRNKBBQR w HBhb -,171,565,d2d4,5,22,23,d2d4 f7f5 h2h4 c8d6 f2f3 g7g6 a2a4
nrnkbbqr/pppppppp/8/8/8/8/PPPPPPPP/NRNKBBQR w HBhb -,171,565,g2g3,4,21,23,g2g3 f7f6
nrnkbqrb/pppppppp/8/8/8/8/PPPPPPPP/NRNKBQRB w GBgb -,172,1231,g2g4,1,35,23,g2g4 g7g6 a1b3 f7f5 f2f4 c8b6 g4f5
nrnkbqrb/pppppppp/8/8/8/8/PPPPPPPP/NRNKBQRB w GBgb -,172,1231,f2f4,2,32,23,f2f4 f7f5 g2g4 f5g4 g1g4 d7d6 f1f2
nrnkbqrb/pppppppp/8/8/8/8/PPPPPPPP/NRNKBQRB w GBgb -,172,1231,a1b3,3,27,23,a1b3 f7f5 g2g4 g7g6 d2d4 d7d6 c1d3
nrnkbqrb/pppppppp/8/8/8/8/PPPPPPPP/NRNKBQRB w GBgb -,172,1231,d2d4,4,26,23,d2d4 d7d5 a1b3 a8b6 c1d3 c8d6 g2g4
nrnkbqrb/pppppppp/8/8/8/8/PPPPPPPP/NRNKBQRB w GBgb -,172,1231,g2g3,5,15,23,g2g3 g7g5 f2f4 g5f4 g3f4 f7f5 c2c4
nbrnkqbr/pppppppp/8/8/8/8/PPPPPPPP/NBRNKQBR w HChc -,173,693,f2f4,1,18,24,f2f4 f7f5 c2c3 c7c6 a1b3 a8b6 g1f2
nbrnkqbr/pppppppp/8/8/8/8/PPPPPPPP/NBRNKQBR w HChc -,173,693,a1b3,2,18,24,a1b3 f7f5 f2f4 a8b6 c2c3 c7c6 g1f2
nbrnkqbr/pppppppp/8/8/8/8/PPPPPPPP/NBRNKQBR w HChc -,173,693,c2c3,3,17,24,c2c3 f7f5 f2f4 c7c6 a1b3 a8b6 g1f2
nbrnkqbr/pppppppp/8/8/8/8/PPPPPPPP/NBRNKQBR w HChc -,173,693,h2h4,4,4,24,h2h4 f7f5 f2f4 a8b6 a1b3 c7c6 c2c3
nbrnkqbr/pppppppp/8/8/8/8/PPPPPPPP/NBRNKQBR w HChc -,173,693,e2e4,5,2,24,e2e4 f7f5 e4f5 f8f5 d1e3 f5f6 c2c3
nrnbkqbr/pppppppp/8/8/8/8/PPPPPPPP/NRNBKQBR w HBhb -,174,105,e2e4,1,38,23,e2e4 f7f5 e4e5 f5f4 f2f3 a8b6 d1e2
nrnbkqbr/pppppppp/8/8/8/8/PPPPPPPP/NRNBKQBR w HBhb -,174,105,f2f4,2,37,23,f2f4 f7f5 a1b3 d7d6 d2d3 a8b6 e2e4
nrnbkqbr/pppppppp/8/8/8/8/PPPPPPPP/NRNBKQBR w HBhb -,174,105,a1b3,3,21,23,a1b3 e7e5 e2e4 f7f5 f1b5 d8f6 f2f4
nrnbkqbr/pppppppp/8/8/8/8/PPPPPPPP/NRNBKQBR w HBhb -,174,105,f2f3,4,18,23,f2f3 e7e5 e2e4 f7f6 a1b3 c7c6 g1f2
nrnbkqbr/pppppppp/8/8/8/8/PPPPPPPP/NRNBKQBR w HBhb -,174,105,c2c3,5,10,23,c2c3 f7f5
nrnkqbbr/pppppppp/8/8/8/8/PPPPPPPP/NRNKQBBR w HBhb -,175,1944,f2f3,1,33,24,f2f3 e7e5 e2e4 f7f6 a1b3 d7d5 e4d5
nrnkqbbr/pppppppp/8/8/8/8/PPPPPPPP/NRNKQBBR w HBhb -,175,1944,e2e4,2,33,24,e2e4 e7e5 f2f3 f7f6 a1b3 d7d5 e4d5
nrnkqbbr/pppppppp/8/8/8/8/PPPPPPPP/NRNKQBBR w HBhb -,175,1944,f2f4,3,31,24,f2f4 f7f6 e2e4 e7e5 f4e5 f6e5 a1b3
nrnkqbbr/pppppppp/8/8/8/8/PPPPPPPP/NRNKQBBR w HBhb -,175,1944,d2d4,4,30,24,d2d4 d7d5
nrnkqbbr/pppppppp/8/8/8/8/PPPPPPPP/NRNKQBBR w HBhb -,175,1944,a1b3,5,21,24,a1b3 d7d5 d2d4 f7f6 f2f3 c8d6 c1d3
nrnkqrbb/pppppppp/8/8/8/8/PPPPPPPP/NRNKQRBB w FBfb -,176,419,g2g4,1,44,24,g2g4 g7g5 a1b3 e7e5 e2e4 d7d6 h2h4
